time,co2,voc,co21,voc1
2025-08-20 20:01:16.953,944.98,427.95,34.93,69.87
2025-08-20 20:01:19.034,944.98,427.95,39.30,74.24
2025-08-20 20:01:21.114,944.98,427.95,34.93,69.87
2025-08-20 20:01:23.194,944.98,427.95,34.93,69.87
2025-08-20 20:01:25.260,944.98,427.95,39.30,69.87
2025-08-20 20:01:27.326,944.98,427.95,39.30,74.24
2025-08-20 20:01:29.406,944.98,427.95,39.30,69.87
2025-08-20 20:01:31.487,944.98,427.95,39.30,69.87
2025-08-20 20:01:33.567,944.98,427.95,39.30,69.87
2025-08-20 20:01:35.630,944.98,427.95,69.87,87.34
2025-08-20 20:01:37.696,944.98,427.95,34.93,69.87
2025-08-20 20:01:39.777,944.98,427.95,34.93,65.50
