Designator,Mid X,Mid Y,Layer,Rotation
C2,76.20,17.14,Top,0.0
C3,16.51,36.83,Top,0.0
C4,25.40,20.32,Top,180.0
C6,25.40,16.51,Top,180.0
C7,76.20,25.40,Top,0.0
C8,91.44,19.05,Top,270.0
C9,91.44,11.43,Top,90.0
C10,69.85,11.43,Top,270.0
R,90.17,25.40,Top,270.0
R1,85.09,16.51,Top,180.0
R2,76.20,14.61,Top,180.0
R3,19.05,27.94,Top,90.0
R4,20.32,40.64,Top,90.0
R5,88.90,34.29,Top,90.0
R6,102.87,30.48,Top,180.0
R7,83.82,40.64,Top,180.0
R8,81.28,35.56,Top,180.0
R9,71.12,35.56,Top,180.0
R10,20.32,35.56,Top,270.0
R11,69.85,40.64,Top,180.0
R12,85.34,21.59,Top,270.0
R13,76.20,39.37,Top,270.0
U$1,104.14,15.24,Top,20.0
U$3,76.20,10.16,Top,0.0
U$4,106.68,35.56,Top,180.0
U2,25.40,27.94,Top,90.0
U5,76.20,20.32,Top,180.0
