Comment,Designator,Footprint,JLC Part #
1.0uF,C10,C0805,C1712
1k,R1 R8 R9,R0805,C110774
2.2uF,C9,C0603,C1607
4.7 uF(elec),C6,C0603,C1953079
4.7uF,C8,C1206,C1872
4k7,R5 R6,M1206,C17936
6k49,R,R0603,C218127
10k,R3 R7 R11,M1206,C1489
49k9,R2 R12,R0603,C218050
60R,R4 R10,R0603,C166918
100nF,C2 C3 C4,C0402,C1525
680nF,C7,C1206,C1881
3224W1203E,R13,TRIM_3224W1203E,
ADA4528-1ARMZ-R7,U5,SOP65P490X110-8N,
MIC5233,U$3,MIC5233,
MICS-VZ-89TE,U$4,MICS-VZ-89TE_FP,
MP7227,U$1,MP7227_FP,
SN65HVD230,U2,SOIC127P599X175-8N,
